,date,text,topic,topic_proba
45477,1684663200,"В этом году хедлайнером фестиваля «Тайны горы Крестовой» вновь станет Пермский театр оперы и балета, который представит сюиту танцев из балета Арама Хачатуряна.

https://www.business-class.su/news/2023/05/08/yubilei-ukrasyat-zakatom-festival-tainy-gory-krestovoi-12-v-etom-godu-proidet-po-novomu",Культура,0.9933031
45476,1684656000,"Авиакомпания Azur Air запросила допуск на полеты из Перми в Занзибар.

https://www.business-class.su/news/2023/05/19/aviakompaniya-azur-air-planiruet-sovershat-pryamye-reisy-iz-permi-v-zanzibar",Экономика,0.9353861
45474,1684648800,"Апелляционная инстанция рассмотрела жалобу прокуратуры на решение по уголовному делу в отношении бывшего директора Управления капитального строительства Пермского края Дмитрия Левинского. В начале марта этого года Ленинский районный суд признал его виновным в получении взятки в особо крупном размере.

https://www.business-class.su/news/2023/05/18/sud-uzhestochil-prigovor-eks-glave-upravleniya-kapitalnogo-stroitelstva-permskogo-kraya",Силовые структуры,0.8914843
45473,1684641600,"Документацию для изъятия в государственную собственность недвижимости с целью строительства второго участка трассы ТР-53 подготовит АО «Стройземнедвижимость-Пермь». Сейчас Управление автомобильных дорог и транспорта Пермского края заключает с компанией контракт на сумму 21,2 млн рублей.

https://www.business-class.su/news/2023/05/18/vlasti-nashli-podryadchika-dlya-izyatiya-nedvizhimosti-dlya-stroitelstva-trassy-tr-53",Город,0.6900816
45465,1684555200,"Business Class рассказывает об успешных пермских стартапах, которые упрощают или совершенствуют промышленное производство, ускоряют передачу контента, делают безопаснее городскую среду.

https://www.business-class.su/news/2023/05/19/trafik-pechat-i-sypuchie-materialy-rasskazyvaem-o-permskih-vysokotehnologichnyh-startapah-v-b2b",Город,0.99612916
45464,1684515601,"Городские власти прорабатывают вопрос улучшения транспортной доступности микрорайона Красные Казармы Эту тему поднял депутат Пермской Думы Николай Булатов на заседании комитета по городскому хозяйству.

https://www.business-class.su/news/2023/05/18/v-mikroraione-krasnye-kazarmy-mozhet-poyavitsya-novaya-avtobusnaya-ostanovka",Город,0.43512848
45462,1684508402,"В пермских торговых центрах создадут специальные досуговые пространства для подростков. Первая подобная площадка в июне появится в ТРЦ «Планета». Глава Перми Алексей Дёмкин рассказал, что городские власти организуют различные мастер-классы, соревнования, концерты для подростков.

https://www.business-class.su/news/2023/05/19/master-klassy-i-koncerty-v-torgovyh-centrah-permi-poyavyatsya-prostranstva-dlya-podrostkov",Город,0.8184483
45461,1684501321,"Подведены итоги регионального конкурса «Путешествие по Пермскому краю», который реализуется по инициативе председателя Законодательного Собрания региона Валерия Сухих. Авторские маршруты семи победителей станут основой для телефильмов. 

https://www.business-class.su/news/2023/05/19/v-permskom-krae-snimut-filmy-o-semi-territoriyah-regiona",Культура,0.4341963
45458,1684494002,"Пермяков ждут теплые выходные. А вот в понедельник возможны дожди.

https://www.business-class.su/news/2023/05/19/v-vyhodnye-v-permskom-krae-potepleet-do-25-gradusov-bez-osadkov",Город,0.37156716
45457,1684486805,"19 мая в Советском союзе отмечался день создания одной из самых известных в мире детских организаций. Архивные фотографии позволяют вспомнить, чем жили пионеры в Прикамье.

👉 Еще больше архивных материалов по ссылке: https://www.business-class.su/news/2016/05/19/vzveytes-kostrami",Культура,0.7337792
45443,1684480259,"Утром сотрудники ФСБ провели обыски у пермских правозащитников. В их числе экс-уполномоченный по правам человека в Пермском крае Татьяна Марголина и Светлана Маковецкая, которые являются членам Совета по правам человека при президенте РФ.

https://www.business-class.su/news/2023/05/19/sotrudniki-fsb-proveli-obyski-u-permskih-pravozashchitnikov",Силовые структуры,0.7789223
45442,1684471587,"Экспресс-маршрут №1т «Микрорайон Заозерье – Центральный рынок», который свяжет микрорайоны Заозерье и Гайва с центром города ускоренным сообщением, планируется запустить в сентябре. 

https://www.business-class.su/news/2023/05/18/ekspress-marshrut-do-gaivy-i-zaozerya-planiruetsya-otkryt-k-oseni",Город,0.8433942
45441,1684427400,"Потепление начнется в воскресенье. В результате во второй половине предстоящей недели вероятна жара до +30˚.

https://www.business-class.su/news/2023/05/18/potepleet-do-30-gradusov-v-permskom-krae-nachalos-meteorologicheskoe-leto",Город,0.96544033
45440,1684420200,"Променадную часть набережной Камы в районе Речного вокзала планируется открыть к началу июня. Строения на фото – это сидения будущего амфитеатра на откосе берегового укрепления.

https://www.business-class.su/news/2023/05/18/promenadnuyu-chast-naberezhnoi-v-permi-planiruyut-otkryt-v-nachale-iyunya",Город,0.742563
45439,1684413000,"В Пермском крае планируют создать три реестра такси. В них будут заносить данные о водителях, транспортных средствах и службах такси. 

https://www.business-class.su/news/2023/05/17/informaciyu-o-deyatelnosti-taksi-v-permskom-krae-nachnut-fiksirovat-v-treh-reestrah",Город,0.8001751
45438,1684405800,"Управление Роспотребнадзора по Пермскому краю признало незаконной продажу кофейных напитков с грудным молоком, которые рекламирует одна из кофеен Перми. Ведомство начало проверку в отношении заведения.

https://www.business-class.su/news/2023/05/17/rospotrebnadzor-proverit-informaciyu-ob-ispolzovanii-permskoi-kofeinei-grudnogo-moloka",Экономика,0.5900006
45437,1684398600,"К 2024 году власти Пермского края намерены ликвидировать Единый реестр проблемных объектов после того, как объекты будут либо введены в эксплуатацию, либо дольщики получат компенсацию. 

https://www.business-class.su/news/2023/05/18/kraevye-vlasti-hotyat-reshit-problemu-s-mnogokvartirnymi-nedostroennymi-domami-k-2024-godu",Город,0.983714
45430,1684391040,"Администрация Перми предоставила муниципальные помещения волонтерским организациям, оказывающим поддержку участникам специальной военной операции и их семьям. На площадку по ул. Хохрякова, 25 переедут организации «Мы вместе», «Помощь здесь» и «Молот – наш Пермский танковый батальон».

https://www.business-class.su/news/2023/05/18/vlasti-permi-predostavili-pomeshcheniya-podderzhivayushchim-uchastnikov-specoperacii-volonteram",Город,0.7257772
45428,1684387543,"Администрация Индустриального района Перми потребовала признать самовольной постройкой и снести кафе «Берлога» в Балатовском парке. Власти утверждают, что земельный участок никогда не предоставляли для строительства заведения общепита.

https://www.business-class.su/news/2023/05/18/v-permi-sud-rassmotrit-zayavlenie-o-priznanii-samostroem-zdaniya-kafe-v-balatovskom-parke",Город,0.5375391
45427,1684342801,На закате в Усть-Качке. Доброй ночи!,Город,0.9855847
45426,1684333860,"В Перми закончились бесплатные детские вакцины «АКДС» и «Пентаксим» в поликлиниках. Препараты были досрочно использованы в связи с активной вакцинацией детского населения.

https://www.business-class.su/news/2023/05/16/v-permi-zakonchilis-besplatnye-detskie-vakciny-ot-koklyusha-difterii-i-stolbnyaka",Экономика,0.6489446
45425,1684326660,"Краевые власти претендуют на получение федеральных средств для строительства третьего моста через Каму в Перми. Сейчас проект возведения моста направлен в Главгосэкспертизу. 

https://www.business-class.su/news/2023/05/17/kraevye-vlasti-pretenduyut-na-federalnye-sredstva-dlya-tretego-mosta-cherez-kamu-v-permi",Город,0.76621747
45424,1684319461,"Ректоры пермских вузов раскрыли свою зарплату в 2022 году. Самая высокая среднемесячная оплата – у руководителя Пермского национального исследовательского политехнического университета.

https://www.business-class.su/news/2023/05/17/po-itogam-2022-goda-sredi-rektorov-permskih-vuzov-naibolshaya-zarplata-u-rukovoditelya-pnipu",Экономика,0.8181073
